Id,Prospect ID,Lead Number,Lead Origin,Lead Source,Do Not Email,Do Not Call,Converted,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Country,Specialization,How did you hear about X Education,What is your current occupation,What matters most to you in choosing a course,Search,Magazine,Newspaper Article,X Education Forums,Newspaper,Digital Advertisement,Through Recommendations,Receive More Updates About Our Courses,Tags,Lead Quality,Update me on Supply Chain Content,Get updates on DM Content,Lead Profile,City,Asymmetrique Activity Index,Asymmetrique Profile Index,Asymmetrique Activity Score,Asymmetrique Profile Score,I agree to pay the amount through cheque,A free copy of Mastering The Interview,Last Notable Activity
1755,db9312a1-c65f-4a0c-a1e9-e82c65bb74b2,642295,Landing Page Submission,Google,No,No,0,4.0,198,4.0,Email Opened,India,Supply Chain Management,Word Of Mouth,,,No,No,No,No,No,No,No,No,,,No,No,,Thane & Outskirts,02.Medium,01.High,14.0,17.0,No,No,Email Opened
8085,d86d22e7-48f9-4353-a8ac-e333e6d30dec,588007,Lead Add Form,Reference,No,No,1,0.0,0,0.0,SMS Sent,,Operations Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Select,02.Medium,01.High,14.0,19.0,No,No,Modified
426,19a4a1ae-3250-4758-aa69-30009d13c3d0,655793,Landing Page Submission,Google,No,No,1,2.0,1099,2.0,SMS Sent,India,Select,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Select,Mumbai,02.Medium,01.High,14.0,18.0,No,No,Modified
1214,25b42209-53e9-4818-8c62-55d545dc4d18,647039,Landing Page Submission,Organic Search,No,No,1,4.0,1381,4.0,Email Opened,India,Marketing Management,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Other Cities,02.Medium,01.High,14.0,18.0,No,Yes,Email Opened
2714,79fe04d1-9678-47a0-8347-2f5e89990c39,633646,Landing Page Submission,Direct Traffic,No,No,1,8.0,1484,8.0,SMS Sent,India,Marketing Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Select,Mumbai,,,,,No,Yes,SMS Sent
2971,be7098d7-e150-4baa-8962-ce2ced58667d,631360,API,Google,No,No,0,3.0,237,3.0,Converted to Lead,India,,,,,No,No,No,No,No,No,No,No,,,No,No,,,,,,,No,No,Modified
4053,3255d421-3f6c-41e1-93db-3d6f543fb106,621168,Landing Page Submission,Direct Traffic,Yes,No,0,1.0,241,1.0,Email Bounced,India,Select,Select,Student,Better Career Prospects,No,No,No,No,No,No,No,No,Not doing further education,Worst,No,No,Other Leads,Other Cities of Maharashtra,,,,,No,No,Modified
8301,b1dd6ed7-d40c-45e7-951f-889d3b027fa2,586483,API,Olark Chat,No,No,0,0.0,0,0.0,Olark Chat Conversation,,,,,,No,No,No,No,No,No,No,No,,,No,No,,,01.High,02.Medium,17.0,15.0,No,No,Olark Chat Conversation
2301,f0ecf3ee-a932-4389-a614-233d0bc57c42,637436,Landing Page Submission,Direct Traffic,No,No,0,2.0,295,2.0,SMS Sent,India,International Business,,,,No,No,No,No,No,No,No,No,,,No,No,,Mumbai,02.Medium,01.High,13.0,18.0,No,Yes,Modified
4851,d4d030ac-ccee-4309-b2d5-83a5b9489903,613533,API,Google,No,No,1,2.0,1310,1.0,SMS Sent,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Select,Select,,,,,No,No,SMS Sent
3898,f2c848cb-d263-4248-8d38-16a38ed05802,622641,API,Olark Chat,No,No,0,0.0,0,0.0,Email Opened,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,Select,Select,,,,,No,No,Modified
4508,2a22e2ba-2357-4265-a1bb-ee3b59177237,616493,Landing Page Submission,Google,No,No,1,4.0,1544,4.0,SMS Sent,,Operations Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Select,Other Cities,,,,,No,No,SMS Sent
2467,0bafab4f-c687-4dfc-a24f-8294bcfce5e2,635995,API,Olark Chat,No,No,1,0.0,0,0.0,SMS Sent,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,Select,Select,02.Medium,02.Medium,15.0,15.0,No,No,Modified
3884,49c82b14-a61f-4141-9fd2-fb6d4e96ed4c,622747,API,Olark Chat,No,No,0,0.0,0,0.0,Olark Chat Conversation,,,,,,No,No,No,No,No,No,No,No,,,No,No,,,,,,,No,No,Modified
7126,7a2a0252-1c30-4692-9810-6b13bbd64929,594803,Landing Page Submission,Google,No,No,1,4.0,1647,4.0,Email Opened,India,E-COMMERCE,Online Search,Businessman,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Other Leads,Tier II Cities,,,,,No,No,Email Opened
7504,6e928480-1a3b-46ec-b50d-9287b8263567,592016,Landing Page Submission,Direct Traffic,No,No,0,1.0,343,1.0,Converted to Lead,India,Finance Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Already a student,Might be,No,No,Select,Mumbai,01.High,01.High,16.0,18.0,No,Yes,Modified
1156,ab7de34e-6ae7-4fb1-9eac-8a1cf7f1adcf,647894,API,Olark Chat,Yes,No,0,0.0,0,0.0,Unsubscribed,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Select,Select,02.Medium,02.Medium,14.0,15.0,No,No,Unsubscribed
1649,55526654-391d-4b55-b812-40b72920a6e7,643228,Landing Page Submission,Google,No,No,1,3.0,949,3.0,Email Opened,India,Marketing Management,Email,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,Select,Mumbai,02.Medium,01.High,15.0,18.0,No,No,Email Opened
